dataset,image,mask,modality,iou,choice
BraTS2020,volume_26_slice_104.h5,volume_26_slice_104.h5,modality_0,0.824698,class_1_inverted
BraTS2020,volume_26_slice_104.h5,volume_26_slice_104.h5,modality_3,0.835882,class_1_inverted
BraTS2020,volume_204_slice_41.h5,volume_204_slice_41.h5,modality_0,0.004950,class_2_normal
BraTS2020,volume_204_slice_41.h5,volume_204_slice_41.h5,modality_3,0.005217,class_2_normal
BraTS2020,volume_267_slice_76.h5,volume_267_slice_76.h5,modality_0,0.828283,class_2_normal
BraTS2020,volume_267_slice_76.h5,volume_267_slice_76.h5,modality_3,0.464153,class_2_normal
BraTS2020,volume_350_slice_68.h5,volume_350_slice_68.h5,modality_0,0.895170,class_1_inverted
BraTS2020,volume_350_slice_68.h5,volume_350_slice_68.h5,modality_3,0.499433,class_1_inverted
BraTS2020,volume_293_slice_97.h5,volume_293_slice_97.h5,modality_0,0.373607,class_2_normal
BraTS2020,volume_293_slice_97.h5,volume_293_slice_97.h5,modality_3,0.565694,class_2_normal
BraTS2020,volume_64_slice_67.h5,volume_64_slice_67.h5,modality_0,0.729032,class_1_inverted
BraTS2020,volume_64_slice_67.h5,volume_64_slice_67.h5,modality_3,0.625986,class_1_inverted
BraTS2020,volume_335_slice_97.h5,volume_335_slice_97.h5,modality_0,0.973480,class_2_normal
BraTS2020,volume_335_slice_97.h5,volume_335_slice_97.h5,modality_3,0.792861,class_1_inverted
BraTS2020,volume_279_slice_82.h5,volume_279_slice_82.h5,modality_0,0.232685,class_2_normal
BraTS2020,volume_279_slice_82.h5,volume_279_slice_82.h5,modality_3,0.857319,class_2_normal
BraTS2020,volume_212_slice_74.h5,volume_212_slice_74.h5,modality_0,0.124585,class_2_normal
BraTS2020,volume_212_slice_74.h5,volume_212_slice_74.h5,modality_3,0.386249,class_1_inverted
BraTS2020,volume_129_slice_78.h5,volume_129_slice_78.h5,modality_0,0.046584,class_2_normal
BraTS2020,volume_129_slice_78.h5,volume_129_slice_78.h5,modality_3,0.056667,class_1_inverted
BraTS2020,volume_305_slice_102.h5,volume_305_slice_102.h5,modality_0,0.513204,class_2_normal
BraTS2020,volume_305_slice_102.h5,volume_305_slice_102.h5,modality_3,0.747141,class_2_normal
BraTS2020,volume_341_slice_47.h5,volume_341_slice_47.h5,modality_0,0.020481,class_2_normal
BraTS2020,volume_341_slice_47.h5,volume_341_slice_47.h5,modality_3,0.032301,class_1_normal
BraTS2020,volume_220_slice_63.h5,volume_220_slice_63.h5,modality_0,0.037127,class_2_normal
BraTS2020,volume_220_slice_63.h5,volume_220_slice_63.h5,modality_3,0.030807,class_1_normal
BraTS2020,volume_30_slice_129.h5,volume_30_slice_129.h5,modality_0,0.005756,class_2_normal
BraTS2020,volume_30_slice_129.h5,volume_30_slice_129.h5,modality_3,0.139535,class_2_normal
BraTS2020,volume_6_slice_117.h5,volume_6_slice_117.h5,modality_0,0.548006,class_1_inverted
BraTS2020,volume_6_slice_117.h5,volume_6_slice_117.h5,modality_3,0.507095,class_1_inverted
BraTS2020,volume_10_slice_98.h5,volume_10_slice_98.h5,modality_0,0.409109,class_2_normal
BraTS2020,volume_10_slice_98.h5,volume_10_slice_98.h5,modality_3,0.527453,class_2_normal
BraTS2020,volume_187_slice_120.h5,volume_187_slice_120.h5,modality_0,0.037296,class_2_normal
BraTS2020,volume_187_slice_120.h5,volume_187_slice_120.h5,modality_3,0.330251,class_2_normal
BraTS2020,volume_230_slice_132.h5,volume_230_slice_132.h5,modality_0,0.142857,class_2_normal
BraTS2020,volume_230_slice_132.h5,volume_230_slice_132.h5,modality_3,0.142857,class_2_normal
BraTS2020,volume_260_slice_56.h5,volume_260_slice_56.h5,modality_0,0.194851,class_2_normal
BraTS2020,volume_260_slice_56.h5,volume_260_slice_56.h5,modality_3,0.742248,class_2_normal
BraTS2020,volume_312_slice_126.h5,volume_312_slice_126.h5,modality_0,0.040459,class_2_normal
BraTS2020,volume_312_slice_126.h5,volume_312_slice_126.h5,modality_3,0.030992,class_2_normal
BraTS2020,volume_323_slice_75.h5,volume_323_slice_75.h5,modality_0,0.716687,class_2_normal
BraTS2020,volume_323_slice_75.h5,volume_323_slice_75.h5,modality_3,0.613510,class_2_normal
BraTS2020,volume_291_slice_59.h5,volume_291_slice_59.h5,modality_0,0.711748,class_2_normal
BraTS2020,volume_291_slice_59.h5,volume_291_slice_59.h5,modality_3,0.728546,class_1_inverted
BraTS2020,volume_320_slice_115.h5,volume_320_slice_115.h5,modality_0,0.005173,class_2_normal
BraTS2020,volume_320_slice_115.h5,volume_320_slice_115.h5,modality_3,0.032787,class_1_inverted
BraTS2020,volume_237_slice_48.h5,volume_237_slice_48.h5,modality_0,0.186300,class_2_normal
BraTS2020,volume_237_slice_48.h5,volume_237_slice_48.h5,modality_3,0.842677,class_2_normal
BraTS2020,volume_339_slice_88.h5,volume_339_slice_88.h5,modality_0,0.783955,class_1_inverted
BraTS2020,volume_339_slice_88.h5,volume_339_slice_88.h5,modality_3,0.395023,class_1_inverted
BraTS2020,volume_124_slice_39.h5,volume_124_slice_39.h5,modality_0,0.436066,class_2_normal
BraTS2020,volume_124_slice_39.h5,volume_124_slice_39.h5,modality_3,0.518519,class_2_normal
